id,group,value,metamorphic_control
0,A,1,control-000
1,B,2,control-037
2,C,3,control-074
3,D,4,control-010
4,A,1,control-047
5,B,2,control-084
6,C,3,control-020
7,D,4,control-057
8,A,1,control-094
9,B,2,control-030
10,C,3,control-067
11,D,4,control-003
12,A,1,control-040
13,B,2,control-077
14,C,3,control-013
15,D,4,control-050
16,A,1,control-087
17,B,2,control-023
18,C,3,control-060
19,D,4,control-097
20,A,1,control-033
21,B,2,control-070
22,C,3,control-006
23,D,4,control-043
24,A,1,control-080
25,B,2,control-016
26,C,3,control-053
27,D,4,control-090
28,A,1,control-026
29,B,2,control-063
30,C,3,control-100
31,D,4,control-036
32,A,1,control-073
33,B,2,control-009
34,C,3,control-046
35,D,4,control-083
36,A,1,control-019
37,B,2,control-056
38,C,3,control-093
39,D,4,control-029
40,A,1,control-066
41,B,2,control-002
42,C,3,control-039
43,D,4,control-076
44,A,1,control-012
45,B,2,control-049
46,C,3,control-086
47,D,4,control-022
48,A,1,control-059
49,B,2,control-096
50,C,3,control-032
51,D,4,control-069
52,A,1,control-005
53,B,2,control-042
54,C,3,control-079
55,D,4,control-015
56,A,1,control-052
57,B,2,control-089
58,C,3,control-025
59,D,4,control-062
60,A,1,control-099
61,B,2,control-035
62,C,3,control-072
63,D,4,control-008
64,A,1,control-045
65,B,2,control-082
66,C,3,control-018
67,D,4,control-055
68,A,1,control-092
69,B,2,control-028
70,C,3,control-065
71,D,4,control-001
72,A,1,control-038
73,B,2,control-075
74,C,3,control-011
75,D,4,control-048
76,A,1,control-085
77,B,2,control-021
78,C,3,control-058
79,D,4,control-095
80,A,1,control-031
81,B,2,control-068
82,C,3,control-004
83,D,4,control-041
84,A,1,control-078
85,B,2,control-014
86,C,3,control-051
87,D,4,control-088
88,A,1,control-024
89,B,2,control-061
90,C,3,control-098
91,D,4,control-034
92,A,1,control-071
93,B,2,control-007
94,C,3,control-044
95,D,4,control-081
96,A,1,control-017
97,B,2,control-054
98,C,3,control-091
99,D,4,control-027
100,A,1,control-064
101,B,2,control-000
102,C,3,control-037
103,D,4,control-074
104,A,1,control-010
105,B,2,control-047
106,C,3,control-084
107,D,4,control-020
108,A,1,control-057
109,B,2,control-094
110,C,3,control-030
111,D,4,control-067
112,A,1,control-003
113,B,2,control-040
114,C,3,control-077
115,D,4,control-013
116,A,1,control-050
117,B,2,control-087
118,C,3,control-023
119,D,4,control-060
120,A,1,control-097
121,B,2,control-033
122,C,3,control-070
123,D,4,control-006
124,A,1,control-043
125,B,2,control-080
126,C,3,control-016
127,D,4,control-053
128,A,1,control-090
129,B,2,control-026
130,C,3,control-063
131,D,4,control-100
132,A,1,control-036
133,B,2,control-073
134,C,3,control-009
135,D,4,control-046
136,A,1,control-083
137,B,2,control-019
138,C,3,control-056
139,D,4,control-093
140,A,1,control-029
141,B,2,control-066
142,C,3,control-002
143,D,4,control-039
144,A,1,control-076
145,B,2,control-012
146,C,3,control-049
147,D,4,control-086
148,A,1,control-022
149,B,2,control-059
150,C,3,control-096
151,D,4,control-032
152,A,1,control-069
153,B,2,control-005
154,C,3,control-042
155,D,4,control-079
