id,group,value
999,D,4
998,C,3
997,B,2
996,A,1
995,D,4
994,C,3
993,B,2
992,A,1
991,D,4
990,C,3
989,B,2
988,A,1
987,D,4
986,C,3
985,B,2
984,A,1
983,D,4
982,C,3
981,B,2
980,A,1
979,D,4
978,C,3
977,B,2
976,A,1
975,D,4
974,C,3
973,B,2
972,A,1
971,D,4
970,C,3
969,B,2
968,A,1
967,D,4
966,C,3
965,B,2
964,A,1
963,D,4
962,C,3
961,B,2
960,A,1
959,D,4
958,C,3
957,B,2
956,A,1
955,D,4
954,C,3
953,B,2
952,A,1
951,D,4
950,C,3
949,B,2
948,A,1
947,D,4
946,C,3
945,B,2
944,A,1
943,D,4
942,C,3
941,B,2
940,A,1
939,D,4
938,C,3
937,B,2
936,A,1
935,D,4
934,C,3
933,B,2
932,A,1
931,D,4
930,C,3
929,B,2
928,A,1
927,D,4
926,C,3
925,B,2
924,A,1
923,D,4
922,C,3
921,B,2
920,A,1
919,D,4
918,C,3
917,B,2
916,A,1
915,D,4
914,C,3
913,B,2
912,A,1
911,D,4
910,C,3
909,B,2
908,A,1
907,D,4
906,C,3
905,B,2
904,A,1
903,D,4
902,C,3
901,B,2
900,A,1
899,D,4
898,C,3
897,B,2
896,A,1
895,D,4
894,C,3
893,B,2
892,A,1
891,D,4
890,C,3
889,B,2
888,A,1
887,D,4
886,C,3
885,B,2
884,A,1
883,D,4
882,C,3
881,B,2
880,A,1
879,D,4
878,C,3
877,B,2
876,A,1
875,D,4
874,C,3
873,B,2
872,A,1
871,D,4
870,C,3
869,B,2
868,A,1
867,D,4
866,C,3
865,B,2
864,A,1
863,D,4
862,C,3
861,B,2
860,A,1
859,D,4
858,C,3
857,B,2
856,A,1
855,D,4
854,C,3
853,B,2
852,A,1
851,D,4
850,C,3
849,B,2
848,A,1
847,D,4
846,C,3
845,B,2
844,A,1
843,D,4
842,C,3
841,B,2
840,A,1
839,D,4
838,C,3
837,B,2
836,A,1
835,D,4
834,C,3
833,B,2
832,A,1
831,D,4
830,C,3
829,B,2
828,A,1
827,D,4
826,C,3
825,B,2
824,A,1
823,D,4
822,C,3
821,B,2
820,A,1
819,D,4
818,C,3
817,B,2
816,A,1
815,D,4
814,C,3
813,B,2
812,A,1
811,D,4
810,C,3
809,B,2
808,A,1
807,D,4
806,C,3
805,B,2
804,A,1
803,D,4
802,C,3
801,B,2
800,A,1
799,D,4
798,C,3
797,B,2
796,A,1
795,D,4
794,C,3
793,B,2
792,A,1
791,D,4
790,C,3
789,B,2
788,A,1
787,D,4
786,C,3
785,B,2
784,A,1
783,D,4
782,C,3
781,B,2
780,A,1
779,D,4
778,C,3
777,B,2
776,A,1
775,D,4
774,C,3
773,B,2
772,A,1
771,D,4
770,C,3
769,B,2
768,A,1
767,D,4
766,C,3
765,B,2
764,A,1
763,D,4
762,C,3
761,B,2
760,A,1
759,D,4
758,C,3
757,B,2
756,A,1
755,D,4
754,C,3
753,B,2
752,A,1
751,D,4
750,C,3
749,B,2
748,A,1
747,D,4
746,C,3
745,B,2
744,A,1
743,D,4
742,C,3
741,B,2
740,A,1
739,D,4
738,C,3
737,B,2
736,A,1
735,D,4
734,C,3
733,B,2
732,A,1
731,D,4
730,C,3
729,B,2
728,A,1
727,D,4
726,C,3
725,B,2
724,A,1
723,D,4
722,C,3
721,B,2
720,A,1
719,D,4
718,C,3
717,B,2
716,A,1
715,D,4
714,C,3
713,B,2
712,A,1
711,D,4
710,C,3
709,B,2
708,A,1
707,D,4
706,C,3
705,B,2
704,A,1
703,D,4
702,C,3
701,B,2
700,A,1
699,D,4
698,C,3
697,B,2
696,A,1
695,D,4
694,C,3
693,B,2
692,A,1
691,D,4
690,C,3
689,B,2
688,A,1
687,D,4
686,C,3
685,B,2
684,A,1
683,D,4
682,C,3
681,B,2
680,A,1
679,D,4
678,C,3
677,B,2
676,A,1
675,D,4
674,C,3
673,B,2
672,A,1
671,D,4
670,C,3
669,B,2
668,A,1
667,D,4
666,C,3
665,B,2
664,A,1
663,D,4
662,C,3
661,B,2
660,A,1
659,D,4
658,C,3
657,B,2
656,A,1
655,D,4
654,C,3
653,B,2
652,A,1
651,D,4
650,C,3
649,B,2
648,A,1
647,D,4
646,C,3
645,B,2
644,A,1
643,D,4
642,C,3
641,B,2
640,A,1
639,D,4
638,C,3
637,B,2
636,A,1
635,D,4
634,C,3
633,B,2
632,A,1
631,D,4
630,C,3
629,B,2
628,A,1
627,D,4
626,C,3
625,B,2
624,A,1
623,D,4
622,C,3
621,B,2
620,A,1
619,D,4
618,C,3
617,B,2
616,A,1
615,D,4
614,C,3
613,B,2
612,A,1
611,D,4
610,C,3
609,B,2
608,A,1
607,D,4
606,C,3
605,B,2
604,A,1
603,D,4
602,C,3
601,B,2
600,A,1
599,D,4
598,C,3
597,B,2
596,A,1
595,D,4
594,C,3
593,B,2
592,A,1
591,D,4
590,C,3
589,B,2
588,A,1
587,D,4
586,C,3
585,B,2
584,A,1
583,D,4
582,C,3
581,B,2
580,A,1
579,D,4
578,C,3
577,B,2
576,A,1
575,D,4
574,C,3
573,B,2
572,A,1
571,D,4
570,C,3
569,B,2
568,A,1
567,D,4
566,C,3
565,B,2
564,A,1
563,D,4
562,C,3
561,B,2
560,A,1
559,D,4
558,C,3
557,B,2
556,A,1
555,D,4
554,C,3
