id,x,y,metamorphic_control
0,-10,0,control-000
1,-10,0,control-037
2,-10,0,control-074
3,-10,0,control-010
4,-10,0,control-047
5,-10,0,control-084
6,-10,0,control-020
7,-10,0,control-057
8,-10,0,control-094
9,-10,0,control-030
10,-10,0,control-067
11,-10,0,control-003
12,-10,0,control-040
13,-10,0,control-077
14,-10,0,control-013
15,-10,0,control-050
16,-10,0,control-087
17,-10,0,control-023
18,-10,0,control-060
19,-10,0,control-097
20,-10,0,control-033
21,-10,0,control-070
22,-10,0,control-006
23,-10,0,control-043
24,-10,0,control-080
25,-10,0,control-016
26,-10,0,control-053
27,-10,0,control-090
28,-10,0,control-026
29,-10,0,control-063
30,-10,0,control-100
31,-10,0,control-036
32,-10,0,control-073
33,-10,0,control-009
34,-10,0,control-046
35,-10,0,control-083
36,-10,0,control-019
37,-10,0,control-056
38,-10,0,control-093
39,-10,0,control-029
40,-10,0,control-066
41,-10,0,control-002
42,-10,0,control-039
43,-10,0,control-076
44,-10,0,control-012
45,-10,0,control-049
46,-10,0,control-086
47,-10,0,control-022
48,-10,0,control-059
49,-10,0,control-096
50,-10,0,control-032
51,-10,0,control-069
52,-10,0,control-005
53,-10,0,control-042
54,-10,0,control-079
55,-10,0,control-015
56,-10,0,control-052
57,-10,0,control-089
58,-10,0,control-025
59,-10,0,control-062
60,-10,0,control-099
61,-10,0,control-035
62,-10,0,control-072
63,-10,0,control-008
64,-10,0,control-045
65,-10,0,control-082
66,-10,0,control-018
67,-10,0,control-055
68,-10,0,control-092
69,-10,0,control-028
70,-10,0,control-065
71,-10,0,control-001
72,-10,0,control-038
73,-10,0,control-075
74,-10,0,control-011
75,-10,0,control-048
76,-10,0,control-085
77,-10,0,control-021
78,-10,0,control-058
79,-10,0,control-095
80,-10,0,control-031
81,-10,0,control-068
82,-10,0,control-004
83,-10,0,control-041
84,-10,0,control-078
85,-10,0,control-014
86,-10,0,control-051
87,-10,0,control-088
88,-10,0,control-024
89,-10,0,control-061
90,-10,0,control-098
91,-10,0,control-034
92,-10,0,control-071
93,-10,0,control-007
94,-10,0,control-044
95,-10,0,control-081
96,-10,0,control-017
97,-10,0,control-054
