id,value,metamorphic_control
0,0,control-000
1,1,control-037
2,2,control-074
3,3,control-010
4,4,control-047
5,5,control-084
6,6,control-020
7,7,control-057
8,8,control-094
9,9,control-030
10,0,control-067
11,1,control-003
12,2,control-040
13,3,control-077
14,4,control-013
15,5,control-050
16,6,control-087
17,7,control-023
18,8,control-060
19,9,control-097
20,0,control-033
21,1,control-070
22,2,control-006
23,3,control-043
24,4,control-080
25,5,control-016
26,6,control-053
27,7,control-090
28,8,control-026
29,9,control-063
30,0,control-100
31,1,control-036
32,2,control-073
33,3,control-009
34,4,control-046
35,5,control-083
36,6,control-019
37,7,control-056
38,8,control-093
39,9,control-029
40,0,control-066
41,1,control-002
42,2,control-039
43,3,control-076
44,4,control-012
45,5,control-049
46,6,control-086
47,7,control-022
48,8,control-059
49,9,control-096
50,0,control-032
51,1,control-069
52,2,control-005
53,3,control-042
54,4,control-079
55,5,control-015
56,6,control-052
57,7,control-089
58,8,control-025
59,9,control-062
60,0,control-099
61,1,control-035
62,2,control-072
63,3,control-008
64,4,control-045
65,5,control-082
66,6,control-018
67,7,control-055
68,8,control-092
69,9,control-028
70,0,control-065
71,1,control-001
72,2,control-038
73,3,control-075
74,4,control-011
75,5,control-048
76,6,control-085
77,7,control-021
78,8,control-058
79,9,control-095
80,0,control-031
81,1,control-068
82,2,control-004
83,3,control-041
84,4,control-078
85,5,control-014
86,6,control-051
87,7,control-088
88,8,control-024
89,9,control-061
90,0,control-098
91,1,control-034
92,2,control-071
93,3,control-007
94,4,control-044
95,5,control-081
96,6,control-017
97,7,control-054
98,8,control-091
99,9,control-027
100,0,control-064
101,1,control-000
102,2,control-037
103,3,control-074
104,4,control-010
105,5,control-047
106,6,control-084
107,7,control-020
108,8,control-057
109,9,control-094
110,0,control-030
111,1,control-067
112,2,control-003
113,3,control-040
114,4,control-077
115,5,control-013
116,6,control-050
117,7,control-087
118,8,control-023
119,9,control-060
120,0,control-097
121,1,control-033
122,2,control-070
123,3,control-006
124,4,control-043
125,5,control-080
126,6,control-016
127,7,control-053
128,8,control-090
129,9,control-026
130,0,control-063
131,1,control-100
132,2,control-036
133,3,control-073
134,4,control-009
135,5,control-046
136,6,control-083
137,7,control-019
138,8,control-056
139,9,control-093
140,0,control-029
141,1,control-066
142,2,control-002
143,3,control-039
144,4,control-076
