id,value
999,9
998,8
997,7
996,6
995,5
994,4
993,3
992,2
991,1
990,0
989,9
988,8
987,7
986,6
985,5
984,4
983,3
982,2
981,1
980,0
979,9
978,8
977,7
976,6
975,5
974,4
973,3
972,2
971,1
970,0
969,9
968,8
967,7
966,6
965,5
964,4
963,3
962,2
961,1
960,0
959,9
958,8
957,7
956,6
955,5
954,4
953,3
952,2
951,1
950,0
949,9
948,8
947,7
946,6
945,5
944,4
943,3
942,2
941,1
940,0
939,9
938,8
937,7
936,6
935,5
934,4
933,3
932,2
931,1
930,0
929,9
928,8
927,7
926,6
925,5
924,4
923,3
922,2
921,1
920,0
919,9
918,8
917,7
916,6
915,5
914,4
913,3
912,2
911,1
910,0
909,9
908,8
907,7
906,6
905,5
904,4
903,3
902,2
901,1
900,0
899,9
898,8
897,7
896,6
895,5
894,4
893,3
892,2
891,1
890,0
889,9
888,8
887,7
886,6
885,5
884,4
883,3
882,2
881,1
880,0
879,9
878,8
877,7
876,6
875,5
874,4
873,3
872,2
871,1
870,0
869,9
868,8
867,7
866,6
865,5
864,4
863,3
862,2
861,1
860,0
859,9
858,8
857,7
856,6
855,5
854,4
853,3
852,2
851,1
850,0
849,9
848,8
847,7
846,6
845,5
844,4
843,3
842,2
841,1
840,0
839,9
838,8
837,7
836,6
835,5
834,4
833,3
832,2
831,1
830,0
829,9
828,8
827,7
826,6
825,5
824,4
823,3
822,2
821,1
820,0
819,9
818,8
817,7
816,6
815,5
814,4
813,3
812,2
811,1
810,0
809,9
808,8
807,7
806,6
805,5
804,4
803,3
802,2
801,1
800,0
799,9
798,8
797,7
796,6
795,5
794,4
793,3
792,2
791,1
790,0
789,9
788,8
787,7
786,6
785,5
784,4
783,3
782,2
781,1
780,0
779,9
778,8
777,7
776,6
775,5
774,4
773,3
772,2
771,1
770,0
769,9
768,8
767,7
766,6
765,5
764,4
763,3
762,2
761,1
760,0
759,9
758,8
757,7
756,6
755,5
754,4
753,3
752,2
751,1
750,0
749,9
748,8
747,7
746,6
745,5
744,4
743,3
742,2
741,1
740,0
739,9
738,8
737,7
736,6
735,5
734,4
733,3
732,2
731,1
730,0
729,9
728,8
727,7
726,6
725,5
724,4
723,3
722,2
721,1
720,0
719,9
718,8
717,7
716,6
715,5
714,4
713,3
712,2
711,1
710,0
709,9
708,8
707,7
706,6
705,5
704,4
703,3
702,2
701,1
700,0
699,9
698,8
697,7
696,6
695,5
694,4
693,3
692,2
691,1
690,0
689,9
688,8
687,7
686,6
685,5
684,4
683,3
682,2
681,1
680,0
679,9
678,8
677,7
676,6
675,5
674,4
673,3
672,2
671,1
670,0
669,9
668,8
667,7
666,6
665,5
664,4
663,3
662,2
661,1
660,0
659,9
658,8
657,7
656,6
655,5
654,4
653,3
652,2
651,1
650,0
649,9
648,8
647,7
646,6
645,5
644,4
643,3
642,2
641,1
640,0
639,9
638,8
637,7
636,6
635,5
634,4
633,3
632,2
631,1
630,0
629,9
628,8
627,7
626,6
625,5
624,4
623,3
622,2
621,1
620,0
619,9
