id,cluster_id,x,y,metamorphic_control
0,A,-12,-12,control-000
1,B,12,-12,control-037
2,C,-12,12,control-074
3,D,12,12,control-010
4,A,-12,-12,control-047
5,B,12,-12,control-084
6,C,-12,12,control-020
7,D,12,12,control-057
8,A,-12,-12,control-094
9,B,12,-12,control-030
10,C,-12,12,control-067
11,D,12,12,control-003
12,A,-12,-12,control-040
13,B,12,-12,control-077
14,C,-12,12,control-013
15,D,12,12,control-050
16,A,-12,-12,control-087
17,B,12,-12,control-023
18,C,-12,12,control-060
19,D,12,12,control-097
20,A,-12,-12,control-033
21,B,12,-12,control-070
22,C,-12,12,control-006
23,D,12,12,control-043
24,A,-12,-12,control-080
25,B,12,-12,control-016
26,C,-12,12,control-053
27,D,12,12,control-090
28,A,-12,-12,control-026
29,B,12,-12,control-063
30,C,-12,12,control-100
31,D,12,12,control-036
32,A,-12,-12,control-073
33,B,12,-12,control-009
34,C,-12,12,control-046
35,D,12,12,control-083
36,A,-12,-12,control-019
37,B,12,-12,control-056
38,C,-12,12,control-093
39,D,12,12,control-029
40,A,-12,-12,control-066
41,B,12,-12,control-002
42,C,-12,12,control-039
43,D,12,12,control-076
44,A,-12,-12,control-012
45,B,12,-12,control-049
46,C,-12,12,control-086
47,D,12,12,control-022
48,A,-12,-12,control-059
49,B,12,-12,control-096
50,C,-12,12,control-032
51,D,12,12,control-069
52,A,-12,-12,control-005
53,B,12,-12,control-042
54,C,-12,12,control-079
55,D,12,12,control-015
56,A,-12,-12,control-052
57,B,12,-12,control-089
58,C,-12,12,control-025
59,D,12,12,control-062
60,A,-12,-12,control-099
61,B,12,-12,control-035
62,C,-12,12,control-072
63,D,12,12,control-008
64,A,-12,-12,control-045
65,B,12,-12,control-082
66,C,-12,12,control-018
67,D,12,12,control-055
68,A,-12,-12,control-092
69,B,12,-12,control-028
70,C,-12,12,control-065
71,D,12,12,control-001
72,A,-12,-12,control-038
73,B,12,-12,control-075
74,C,-12,12,control-011
75,D,12,12,control-048
76,A,-12,-12,control-085
77,B,12,-12,control-021
78,C,-12,12,control-058
79,D,12,12,control-095
80,A,-12,-12,control-031
81,B,12,-12,control-068
82,C,-12,12,control-004
83,D,12,12,control-041
84,A,-12,-12,control-078
85,B,12,-12,control-014
86,C,-12,12,control-051
87,D,12,12,control-088
88,A,-12,-12,control-024
89,B,12,-12,control-061
90,C,-12,12,control-098
91,D,12,12,control-034
92,A,-12,-12,control-071
93,B,12,-12,control-007
94,C,-12,12,control-044
95,D,12,12,control-081
96,A,-12,-12,control-017
97,B,12,-12,control-054
98,C,-12,12,control-091
99,D,12,12,control-027
100,A,-12,-12,control-064
101,B,12,-12,control-000
102,C,-12,12,control-037
103,D,12,12,control-074
104,A,-12,-12,control-010
105,B,12,-12,control-047
106,C,-12,12,control-084
107,D,12,12,control-020
108,A,-12,-12,control-057
109,B,12,-12,control-094
110,C,-12,12,control-030
111,D,12,12,control-067
112,A,-12,-12,control-003
113,B,12,-12,control-040
114,C,-12,12,control-077
115,D,12,12,control-013
116,A,-12,-12,control-050
117,B,12,-12,control-087
118,C,-12,12,control-023
119,D,12,12,control-060
120,A,-12,-12,control-097
121,B,12,-12,control-033
122,C,-12,12,control-070
123,D,12,12,control-006
124,A,-12,-12,control-043
125,B,12,-12,control-080
126,C,-12,12,control-016
127,D,12,12,control-053
128,A,-12,-12,control-090
129,B,12,-12,control-026
130,C,-12,12,control-063
131,D,12,12,control-100
132,A,-12,-12,control-036
133,B,12,-12,control-073
134,C,-12,12,control-009
135,D,12,12,control-046
136,A,-12,-12,control-083
137,B,12,-12,control-019
138,C,-12,12,control-056
139,D,12,12,control-093
140,A,-12,-12,control-029
141,B,12,-12,control-066
142,C,-12,12,control-002
143,D,12,12,control-039
144,A,-12,-12,control-076
145,B,12,-12,control-012
146,C,-12,12,control-049
147,D,12,12,control-086
148,A,-12,-12,control-022
149,B,12,-12,control-059
150,C,-12,12,control-096
151,D,12,12,control-032
152,A,-12,-12,control-069
153,B,12,-12,control-005
154,C,-12,12,control-042
155,D,12,12,control-079
156,A,-12,-12,control-015
157,B,12,-12,control-052
158,C,-12,12,control-089
159,D,12,12,control-025
160,A,-12,-12,control-062
161,B,12,-12,control-099
162,C,-12,12,control-035
163,D,12,12,control-072
164,A,-12,-12,control-008
165,B,12,-12,control-045
166,C,-12,12,control-082
167,D,12,12,control-018
168,A,-12,-12,control-055
169,B,12,-12,control-092
170,C,-12,12,control-028
171,D,12,12,control-065
172,A,-12,-12,control-001
173,B,12,-12,control-038
174,C,-12,12,control-075
175,D,12,12,control-011
176,A,-12,-12,control-048
177,B,12,-12,control-085
178,C,-12,12,control-021
179,D,12,12,control-058
180,A,-12,-12,control-095
181,B,12,-12,control-031
182,C,-12,12,control-068
183,D,12,12,control-004
184,A,-12,-12,control-041
185,B,12,-12,control-078
186,C,-12,12,control-014
187,D,12,12,control-051
188,A,-12,-12,control-088
189,B,12,-12,control-024
190,C,-12,12,control-061
191,D,12,12,control-098
192,A,-12,-12,control-034
193,B,12,-12,control-071
194,C,-12,12,control-007
195,D,12,12,control-044
196,A,-12,-12,control-081
197,B,12,-12,control-017
198,C,-12,12,control-054
199,D,12,12,control-091
200,A,-12,-12,control-027
201,B,12,-12,control-064
202,C,-12,12,control-000
203,D,12,12,control-037
204,A,-12,-12,control-074
205,B,12,-12,control-010
206,C,-12,12,control-047
207,D,12,12,control-084
208,A,-12,-12,control-020
209,B,12,-12,control-057
210,C,-12,12,control-094
211,D,12,12,control-030
212,A,-12,-12,control-067
213,B,12,-12,control-003
214,C,-12,12,control-040
215,D,12,12,control-077
216,A,-12,-12,control-013
217,B,12,-12,control-050
218,C,-12,12,control-087
219,D,12,12,control-023
220,A,-12,-12,control-060
221,B,12,-12,control-097
222,C,-12,12,control-033
223,D,12,12,control-070
224,A,-12,-12,control-006
225,B,12,-12,control-043
226,C,-12,12,control-080
227,D,12,12,control-016
228,A,-12,-12,control-053
229,B,12,-12,control-090
230,C,-12,12,control-026
231,D,12,12,control-063
232,A,-12,-12,control-100
233,B,12,-12,control-036
234,C,-12,12,control-073
235,D,12,12,control-009
236,A,-12,-12,control-046
237,B,12,-12,control-083
238,C,-12,12,control-019
239,D,12,12,control-056
240,A,-12,-12,control-093
241,B,12,-12,control-029
242,C,-12,12,control-066
243,D,12,12,control-002
244,A,-12,-12,control-039
245,B,12,-12,control-076
246,C,-12,12,control-012
247,D,12,12,control-049
248,A,-12,-12,control-086
249,B,12,-12,control-022
250,C,-12,12,control-059
251,D,12,12,control-096
252,A,-12,-12,control-032
253,B,12,-12,control-069
254,C,-12,12,control-005
255,D,12,12,control-042
256,A,-12,-12,control-079
257,B,12,-12,control-015
258,C,-12,12,control-052
259,D,12,12,control-089
260,A,-12,-12,control-025
261,B,12,-12,control-062
262,C,-12,12,control-099
263,D,12,12,control-035
264,A,-12,-12,control-072
265,B,12,-12,control-008
266,C,-12,12,control-045
267,D,12,12,control-082
268,A,-12,-12,control-018
269,B,12,-12,control-055
270,C,-12,12,control-092
271,D,12,12,control-028
272,A,-12,-12,control-065
273,B,12,-12,control-001
274,C,-12,12,control-038
275,D,12,12,control-075
276,A,-12,-12,control-011
277,B,12,-12,control-048
278,C,-12,12,control-085
279,D,12,12,control-021
280,A,-12,-12,control-058
281,B,12,-12,control-095
282,C,-12,12,control-031
283,D,12,12,control-068
284,A,-12,-12,control-004
285,B,12,-12,control-041
286,C,-12,12,control-078
287,D,12,12,control-014
288,A,-12,-12,control-051
289,B,12,-12,control-088
290,C,-12,12,control-024
291,D,12,12,control-061
292,A,-12,-12,control-098
293,B,12,-12,control-034
294,C,-12,12,control-071
295,D,12,12,control-007
296,A,-12,-12,control-044
297,B,12,-12,control-081
298,C,-12,12,control-017
299,D,12,12,control-054
300,A,-12,-12,control-091
301,B,12,-12,control-027
302,C,-12,12,control-064
303,D,12,12,control-000
304,A,-12,-12,control-037
305,B,12,-12,control-074
306,C,-12,12,control-010
307,D,12,12,control-047
308,A,-12,-12,control-084
309,B,12,-12,control-020
310,C,-12,12,control-057
311,D,12,12,control-094
312,A,-12,-12,control-030
313,B,12,-12,control-067
314,C,-12,12,control-003
315,D,12,12,control-040
316,A,-12,-12,control-077
317,B,12,-12,control-013
318,C,-12,12,control-050
319,D,12,12,control-087
320,A,-12,-12,control-023
321,B,12,-12,control-060
322,C,-12,12,control-097
323,D,12,12,control-033
324,A,-12,-12,control-070
325,B,12,-12,control-006
326,C,-12,12,control-043
327,D,12,12,control-080
328,A,-12,-12,control-016
329,B,12,-12,control-053
330,C,-12,12,control-090
331,D,12,12,control-026
332,A,-12,-12,control-063
333,B,12,-12,control-100
334,C,-12,12,control-036
335,D,12,12,control-073
336,A,-12,-12,control-009
337,B,12,-12,control-046
338,C,-12,12,control-083
339,D,12,12,control-019
340,A,-12,-12,control-056
341,B,12,-12,control-093
342,C,-12,12,control-029
343,D,12,12,control-066
344,A,-12,-12,control-002
345,B,12,-12,control-039
346,C,-12,12,control-076
347,D,12,12,control-012
348,A,-12,-12,control-049
349,B,12,-12,control-086
350,C,-12,12,control-022
351,D,12,12,control-059
352,A,-12,-12,control-096
353,B,12,-12,control-032
354,C,-12,12,control-069
355,D,12,12,control-005
356,A,-12,-12,control-042
357,B,12,-12,control-079
358,C,-12,12,control-015
359,D,12,12,control-052
360,A,-12,-12,control-089
361,B,12,-12,control-025
362,C,-12,12,control-062
363,D,12,12,control-099
364,A,-12,-12,control-035
365,B,12,-12,control-072
366,C,-12,12,control-008
367,D,12,12,control-045
368,A,-12,-12,control-082
369,B,12,-12,control-018
370,C,-12,12,control-055
371,D,12,12,control-092
372,A,-12,-12,control-028
373,B,12,-12,control-065
374,C,-12,12,control-001
375,D,12,12,control-038
376,A,-12,-12,control-075
377,B,12,-12,control-011
378,C,-12,12,control-048
