id,group,value
0,A,1
1,B,2
2,C,3
3,D,4
4,A,1
5,B,2
6,C,3
7,D,4
8,A,1
9,B,2
10,C,3
11,D,4
12,A,1
13,B,2
14,C,3
15,D,4
16,A,1
17,B,2
18,C,3
19,D,4
20,A,1
21,B,2
22,C,3
23,D,4
24,A,1
25,B,2
26,C,3
27,D,4
28,A,1
29,B,2
30,C,3
31,D,4
32,A,1
33,B,2
34,C,3
35,D,4
36,A,1
37,B,2
38,C,3
39,D,4
40,A,1
41,B,2
42,C,3
43,D,4
44,A,1
45,B,2
46,C,3
47,D,4
48,A,1
49,B,2
50,C,3
51,D,4
52,A,1
53,B,2
54,C,3
55,D,4
56,A,1
57,B,2
58,C,3
59,D,4
60,A,1
61,B,2
62,C,3
63,D,4
64,A,1
65,B,2
66,C,3
67,D,4
68,A,1
69,B,2
70,C,3
71,D,4
72,A,1
73,B,2
74,C,3
75,D,4
76,A,1
77,B,2
78,C,3
79,D,4
80,A,1
81,B,2
82,C,3
83,D,4
84,A,1
85,B,2
86,C,3
87,D,4
88,A,1
89,B,2
90,C,3
91,D,4
92,A,1
93,B,2
94,C,3
95,D,4
96,A,1
97,B,2
98,C,3
99,D,4
100,A,1
101,B,2
102,C,3
103,D,4
104,A,1
105,B,2
106,C,3
107,D,4
108,A,1
109,B,2
110,C,3
111,D,4
112,A,1
113,B,2
114,C,3
115,D,4
116,A,1
117,B,2
118,C,3
119,D,4
120,A,1
121,B,2
122,C,3
123,D,4
124,A,1
125,B,2
126,C,3
127,D,4
128,A,1
129,B,2
130,C,3
131,D,4
132,A,1
133,B,2
134,C,3
135,D,4
136,A,1
137,B,2
138,C,3
139,D,4
140,A,1
141,B,2
142,C,3
143,D,4
144,A,1
145,B,2
146,C,3
147,D,4
148,A,1
149,B,2
150,C,3
151,D,4
152,A,1
153,B,2
154,C,3
155,D,4
156,A,1
157,B,2
158,C,3
159,D,4
160,A,1
161,B,2
162,C,3
163,D,4
164,A,1
165,B,2
166,C,3
167,D,4
168,A,1
169,B,2
170,C,3
171,D,4
172,A,1
173,B,2
174,C,3
175,D,4
176,A,1
177,B,2
178,C,3
179,D,4
180,A,1
181,B,2
182,C,3
183,D,4
184,A,1
185,B,2
186,C,3
187,D,4
188,A,1
189,B,2
190,C,3
191,D,4
192,A,1
193,B,2
194,C,3
195,D,4
196,A,1
197,B,2
198,C,3
199,D,4
200,A,1
201,B,2
202,C,3
203,D,4
204,A,1
205,B,2
206,C,3
207,D,4
208,A,1
209,B,2
210,C,3
211,D,4
212,A,1
213,B,2
214,C,3
215,D,4
216,A,1
217,B,2
218,C,3
219,D,4
220,A,1
221,B,2
222,C,3
223,D,4
224,A,1
225,B,2
226,C,3
227,D,4
228,A,1
229,B,2
230,C,3
231,D,4
232,A,1
233,B,2
234,C,3
235,D,4
236,A,1
237,B,2
238,C,3
239,D,4
240,A,1
241,B,2
242,C,3
243,D,4
244,A,1
245,B,2
246,C,3
247,D,4
248,A,1
249,B,2
250,C,3
251,D,4
252,A,1
253,B,2
254,C,3
255,D,4
256,A,1
257,B,2
258,C,3
259,D,4
260,A,1
261,B,2
262,C,3
263,D,4
264,A,1
265,B,2
266,C,3
267,D,4
268,A,1
269,B,2
270,C,3
271,D,4
272,A,1
273,B,2
274,C,3
275,D,4
276,A,1
277,B,2
278,C,3
279,D,4
280,A,1
281,B,2
282,C,3
283,D,4
284,A,1
285,B,2
286,C,3
287,D,4
288,A,1
289,B,2
290,C,3
291,D,4
292,A,1
293,B,2
294,C,3
295,D,4
296,A,1
297,B,2
298,C,3
299,D,4
300,A,1
301,B,2
302,C,3
303,D,4
304,A,1
305,B,2
306,C,3
307,D,4
308,A,1
309,B,2
310,C,3
311,D,4
312,A,1
313,B,2
314,C,3
315,D,4
316,A,1
317,B,2
318,C,3
319,D,4
320,A,1
321,B,2
322,C,3
323,D,4
324,A,1
325,B,2
326,C,3
327,D,4
328,A,1
329,B,2
330,C,3
331,D,4
332,A,1
333,B,2
334,C,3
335,D,4
336,A,1
337,B,2
338,C,3
339,D,4
340,A,1
341,B,2
342,C,3
343,D,4
344,A,1
345,B,2
346,C,3
347,D,4
348,A,1
349,B,2
350,C,3
351,D,4
352,A,1
353,B,2
354,C,3
355,D,4
356,A,1
357,B,2
358,C,3
359,D,4
360,A,1
361,B,2
362,C,3
363,D,4
364,A,1
365,B,2
366,C,3
367,D,4
368,A,1
369,B,2
370,C,3
371,D,4
372,A,1
373,B,2
374,C,3
375,D,4
376,A,1
377,B,2
378,C,3
379,D,4
