id,x,y,z,group,timestamp_s
0,-500,-1493,-8,g0,1700000000
1,-499,-1490,-7,g1,1700000060
2,-498,-1487,-6,g2,1700000120
3,-497,-1484,-5,g3,1700000180
4,-496,-1481,-4,g0,1700000240
5,-495,-1478,-3,g1,1700000300
6,-494,-1475,-2,g2,1700000360
7,-493,-1472,-1,g3,1700000420
8,-492,-1469,0,g0,1700000480
9,-491,-1466,1,g1,1700000540
10,-490,-1463,2,g2,1700000600
11,-489,-1460,3,g3,1700000660
12,-488,-1457,4,g0,1700000720
13,-487,-1454,5,g1,1700000780
14,-486,-1451,6,g2,1700000840
15,-485,-1448,7,g3,1700000900
16,-484,-1445,8,g0,1700000960
17,-483,-1442,-8,g1,1700001020
18,-482,-1439,-7,g2,1700001080
19,-481,-1436,-6,g3,1700001140
20,-480,-1433,-5,g0,1700001200
21,-479,-1430,-4,g1,1700001260
22,-478,-1427,-3,g2,1700001320
23,-477,-1424,-2,g3,1700001380
24,-476,-1421,-1,g0,1700001440
25,-475,-1418,0,g1,1700001500
26,-474,-1415,1,g2,1700001560
27,-473,-1412,2,g3,1700001620
28,-472,-1409,3,g0,1700001680
29,-471,-1406,4,g1,1700001740
30,-470,-1403,5,g2,1700001800
31,-469,-1400,6,g3,1700001860
32,-468,-1397,7,g0,1700001920
33,-467,-1394,8,g1,1700001980
34,-466,-1391,-8,g2,1700002040
35,-465,-1388,-7,g3,1700002100
36,-464,-1385,-6,g0,1700002160
37,-463,-1382,-5,g1,1700002220
38,-462,-1379,-4,g2,1700002280
39,-461,-1376,-3,g3,1700002340
40,-460,-1373,-2,g0,1700002400
41,-459,-1370,-1,g1,1700002460
42,-458,-1367,0,g2,1700002520
43,-457,-1364,1,g3,1700002580
44,-456,-1361,2,g0,1700002640
45,-455,-1358,3,g1,1700002700
46,-454,-1355,4,g2,1700002760
47,-453,-1352,5,g3,1700002820
48,-452,-1349,6,g0,1700002880
49,-451,-1346,7,g1,1700002940
50,-450,-1343,8,g2,1700003000
51,-449,-1340,-8,g3,1700003060
52,-448,-1337,-7,g0,1700003120
53,-447,-1334,-6,g1,1700003180
54,-446,-1331,-5,g2,1700003240
55,-445,-1328,-4,g3,1700003300
56,-444,-1325,-3,g0,1700003360
57,-443,-1322,-2,g1,1700003420
58,-442,-1319,-1,g2,1700003480
59,-441,-1316,0,g3,1700003540
