id,cohort,base,mcar_value,mar_value,structural_value
0,0,0,,0,0
1,1,1,0.1,7,13
2,2,2,0.2,14,26
3,3,3,0.3,,39
4,4,4,0.4,28,
5,0,5,0.5,35,65
6,1,6,0.6,42,78
7,2,7,0.7,49,91
8,3,8,0.8,56,104
9,4,9,0.9,63,
10,0,10,1.0,70,130
11,1,11,,77,143
12,2,12,1.2,84,5
13,3,13,1.3,91,18
14,4,14,1.4,1,
15,0,15,1.5,8,44
16,1,16,1.6,15,57
17,2,17,1.7,22,70
18,3,18,1.8,,83
19,4,19,1.9,36,
20,0,20,2.0,43,109
21,1,21,2.1,50,122
22,2,22,,57,135
23,3,23,2.3,64,148
24,4,24,2.4,71,
25,0,25,2.5,78,23
26,1,26,2.6,85,36
27,2,27,2.7,92,49
28,3,28,2.8,2,62
29,4,29,2.9,9,
30,0,30,3.0,16,88
31,1,31,3.1,23,101
32,2,32,3.2,30,114
33,3,33,,,127
34,4,34,3.4,44,
35,0,35,3.5,51,2
36,1,36,3.6,58,15
37,2,37,3.7,65,28
38,3,38,3.8,72,41
39,4,39,3.9,79,
40,0,40,4.0,86,67
41,1,41,4.1,93,80
42,2,42,4.2,3,93
43,3,43,4.3,10,106
44,4,44,,17,
45,0,45,4.5,24,132
46,1,46,4.6,31,145
47,2,47,4.7,38,7
48,3,48,4.8,,20
49,4,49,4.9,52,
50,0,50,5.0,59,46
51,1,51,5.1,66,59
52,2,52,5.2,73,72
53,3,53,5.3,80,85
54,4,54,5.4,87,
55,0,55,,94,111
56,1,56,5.6,4,124
57,2,57,5.7,11,137
58,3,58,5.8,18,150
59,4,59,5.9,25,
60,0,60,6.0,32,25
61,1,61,6.1,39,38
62,2,62,6.2,46,51
63,3,63,6.3,,64
64,4,64,6.4,60,
65,0,65,6.5,67,90
66,1,66,,74,103
67,2,67,6.7,81,116
68,3,68,6.8,88,129
69,4,69,6.9,95,
70,0,70,7.0,5,4
71,1,71,7.1,12,17
72,2,72,7.2,19,30
73,3,73,7.3,26,43
74,4,74,7.4,33,
75,0,75,7.5,40,69
76,1,76,7.6,47,82
77,2,77,,54,95
78,3,78,7.8,,108
79,4,79,7.9,68,
80,0,80,8.0,75,134
81,1,81,8.1,82,147
82,2,82,8.2,89,9
83,3,83,8.3,96,22
84,4,84,8.4,6,
85,0,85,8.5,13,48
86,1,86,8.6,20,61
87,2,87,8.7,27,74
88,3,88,,34,87
89,4,89,8.9,41,
90,0,90,9.0,48,113
91,1,91,9.1,55,126
92,2,92,9.2,62,139
93,3,93,9.3,,1
94,4,94,9.4,76,
95,0,95,9.5,83,27
96,1,96,9.6,90,40
97,2,97,9.7,0,53
98,3,98,9.8,7,66
99,4,99,,14,
100,0,100,10.0,21,92
101,1,101,10.1,28,105
102,2,102,10.2,35,118
103,3,103,10.3,42,131
104,4,104,10.4,49,
105,0,105,10.5,56,6
106,1,106,10.6,63,19
107,2,107,10.7,70,32
108,3,108,10.8,,45
109,4,109,10.9,84,
110,0,110,,91,71
111,1,111,11.1,1,84
112,2,112,11.2,8,97
113,3,113,11.3,15,110
114,4,114,11.4,22,
115,0,115,11.5,29,136
116,1,116,11.6,36,149
117,2,117,11.7,43,11
118,3,118,11.8,50,24
119,4,119,11.9,57,
120,0,120,12.0,64,50
121,1,121,,71,63
122,2,122,12.2,78,76
123,3,123,12.3,,89
124,4,124,12.4,92,
125,0,125,12.5,2,115
126,1,126,12.6,9,128
127,2,127,12.7,16,141
128,3,128,12.8,23,3
129,4,129,12.9,30,
130,0,130,13.0,37,29
131,1,131,13.1,44,42
132,2,132,,51,55
133,3,133,13.3,58,68
134,4,134,13.4,65,
135,0,135,13.5,72,94
136,1,136,13.6,79,107
137,2,137,13.7,86,120
138,3,138,13.8,,133
139,4,139,13.9,3,
140,0,140,14.0,10,8
141,1,141,14.1,17,21
142,2,142,14.2,24,34
143,3,143,,31,47
144,4,144,14.4,38,
145,0,145,14.5,45,73
146,1,146,14.6,52,86
147,2,147,14.7,59,99
148,3,148,14.8,66,112
149,4,149,14.9,73,
150,0,150,15.0,80,138
151,1,151,15.1,87,0
152,2,152,15.2,94,13
153,3,153,15.3,,26
154,4,154,,11,
155,0,155,15.5,18,52
156,1,156,15.6,25,65
157,2,157,15.7,32,78
158,3,158,15.8,39,91
159,4,159,15.9,46,
160,0,160,16.0,53,117
161,1,161,16.1,60,130
162,2,162,16.2,67,143
163,3,163,16.3,74,5
164,4,164,16.4,81,
165,0,165,,88,31
166,1,166,16.6,95,44
167,2,167,16.7,5,57
168,3,168,16.8,,70
169,4,169,16.9,19,
170,0,170,17.0,26,96
171,1,171,17.1,33,109
172,2,172,17.2,40,122
173,3,173,17.3,47,135
174,4,174,17.4,54,
175,0,175,17.5,61,10
176,1,176,,68,23
177,2,177,17.7,75,36
178,3,178,17.8,82,49
179,4,179,17.9,89,
180,0,180,18.0,96,75
181,1,181,18.1,6,88
182,2,182,18.2,13,101
183,3,183,18.3,,114
184,4,184,18.4,27,
185,0,185,18.5,34,140
186,1,186,18.6,41,2
187,2,187,,48,15
188,3,188,18.8,55,28
189,4,189,18.9,62,
190,0,190,19.0,69,54
191,1,191,19.1,76,67
192,2,192,19.2,83,80
193,3,193,19.3,90,93
194,4,194,19.4,0,
195,0,195,19.5,7,119
196,1,196,19.6,14,132
197,2,197,19.7,21,145
198,3,198,,,7
199,4,199,19.9,35,
200,0,200,20.0,42,33
201,1,201,20.1,49,46
202,2,202,20.2,56,59
203,3,203,20.3,63,72
204,4,204,20.4,70,
205,0,205,20.5,77,98
206,1,206,20.6,84,111
207,2,207,20.7,91,124
208,3,208,20.8,1,137
209,4,209,,8,
210,0,210,21.0,15,12
211,1,0,0.0,0,0
212,2,1,0.1,7,13
213,3,2,0.2,,26
214,4,3,0.3,21,
215,0,4,0.4,28,52
216,1,5,0.5,35,65
217,2,6,0.6,42,78
218,3,7,0.7,49,91
219,4,8,0.8,56,
220,0,9,,63,117
221,1,10,1.0,70,130
222,2,11,1.1,77,143
223,3,12,1.2,84,5
224,4,13,1.3,91,
225,0,14,1.4,1,31
226,1,15,1.5,8,44
227,2,16,1.6,15,57
228,3,17,1.7,,70
229,4,18,1.8,29,
230,0,19,1.9,36,96
231,1,20,,43,109
232,2,21,2.1,50,122
233,3,22,2.2,57,135
234,4,23,2.3,64,
235,0,24,2.4,71,10
236,1,25,2.5,78,23
237,2,26,2.6,85,36
238,3,27,2.7,92,49
239,4,28,2.8,2,
240,0,29,2.9,9,75
241,1,30,3.0,16,88
242,2,31,,23,101
243,3,32,3.2,,114
244,4,33,3.3,37,
245,0,34,3.4,44,140
246,1,35,3.5,51,2
247,2,36,3.6,58,15
248,3,37,3.7,65,28
249,4,38,3.8,72,
250,0,39,3.9,79,54
251,1,40,4.0,86,67
252,2,41,4.1,93,80
253,3,42,,3,93
254,4,43,4.3,10,
255,0,44,4.4,17,119
256,1,45,4.5,24,132
257,2,46,4.6,31,145
258,3,47,4.7,,7
259,4,48,4.8,45,
260,0,49,4.9,52,33
261,1,50,5.0,59,46
262,2,51,5.1,66,59
263,3,52,5.2,73,72
264,4,53,,80,
265,0,54,5.4,87,98
266,1,55,5.5,94,111
267,2,56,5.6,4,124
268,3,57,5.7,11,137
269,4,58,5.8,18,
270,0,59,5.9,25,12
271,1,60,6.0,32,25
272,2,61,6.1,39,38
273,3,62,6.2,,51
274,4,63,6.3,53,
275,0,64,,60,77
276,1,65,6.5,67,90
277,2,66,6.6,74,103
