id,x,y,z,category
0,-0.25413962,0.72755699,-0.73684551,c5
1,0.01577600,0.02471287,-0.33112200,c2
2,0.78756789,0.91155256,0.50335408,c3
3,0.29597963,-0.02925135,0.86940265,c6
4,-0.71767626,0.39771329,0.19092670,c6
5,0.89938885,-0.29810784,0.51723357,c5
6,-0.48326241,0.11313649,0.99337189,c6
7,-0.41735495,0.72440332,-0.09726592,c6
8,0.19892788,0.90203374,0.18817455,c2
9,-0.43508597,0.99485943,0.85789346,c2
10,-0.05319692,0.87338713,-0.81766383,c5
11,0.32866725,-0.66968858,-0.91164176,c3
12,0.40134297,-0.12639451,-0.34309389,c3
13,0.04546310,0.94344012,0.13046340,c3
14,0.96487984,-0.91581931,0.33651280,c5
15,-0.37327188,0.10271246,-0.06673635,c4
16,-0.83562021,-0.25565617,0.38389506,c1
17,0.39953827,-0.08246221,0.06556470,c5
18,0.63972396,0.99872153,-0.58056673,c5
19,-0.59259983,-0.75157593,-0.45204553,c1
20,0.75698977,0.86999216,0.16568070,c3
21,0.33603236,0.74213414,-0.69016565,c5
22,-0.15326782,0.35654210,-0.28310530,c5
23,0.06414654,-0.00815800,-0.72854953,c1
24,0.06726495,0.65512201,-0.56643203,c4
25,0.83922882,-0.17771101,0.05092492,c4
26,-0.10705815,-0.49149698,-0.53804017,c0
27,0.07832098,-0.30005988,-0.70371296,c5
28,0.22743798,0.67813304,-0.12137257,c6
29,-0.20619829,0.26814026,0.64250464,c1
30,0.14203095,0.54179300,0.45995703,c5
31,-0.35583212,-0.99272956,-0.70648477,c6
32,0.23888217,-0.18374695,-0.92330475,c5
33,-0.39018426,-0.98009597,0.22925733,c0
34,-0.36068192,0.40492888,0.71348030,c4
35,0.29382224,0.94096308,-0.96229833,c6
36,0.59711143,-0.62946207,-0.88662676,c3
37,0.84772623,-0.02712552,-0.62811754,c0
38,0.73676248,0.03275564,-0.95261075,c3
39,0.52230971,0.04572629,-0.96807136,c1
40,0.91678029,0.19087171,-0.79097116,c0
41,-0.15662088,-0.89757607,0.67209512,c2
42,0.71796398,-0.52855363,-0.26619087,c0
43,-0.58745346,-0.49115354,-0.86720596,c5
44,-0.44331606,-0.19903343,0.34379510,c3
45,0.33301099,-0.41099718,-0.60237398,c3
46,-0.57683692,-0.99649771,-0.88286919,c5
47,0.26033962,0.28518809,-0.82458860,c3
48,-0.75524186,-0.47663723,-0.11742930,c5
49,-0.92175097,0.94313972,0.10722150,c1
50,0.87424088,0.27275275,0.23901079,c3
51,0.19938646,0.22219379,-0.40159014,c2
52,0.70307934,-0.39557127,0.20001995,c5
53,-0.50888893,0.13044130,-0.72435648,c6
54,0.89971910,-0.59064478,-0.53662883,c4
55,-0.17372481,-0.81511567,0.06893421,c0
56,0.27286455,0.33936098,-0.69442722,c0
57,-0.74099444,0.69659239,-0.08133033,c3
58,0.75976010,0.15479529,-0.89860029,c2
59,0.82548457,0.18085858,0.10764484,c3
60,-0.46052854,-0.80281582,-0.53157525,c4
61,-0.03026844,-0.10764408,0.21809316,c3
62,0.77116686,0.98688669,0.03654977,c5
63,-0.40561601,0.48529355,-0.28628222,c5
64,0.95739834,-0.05424889,-0.15746297,c1
65,0.73647877,-0.20142703,0.14672283,c4
66,-0.06761702,0.24477126,0.34954036,c0
67,0.86823346,0.76594435,-0.01015532,c5
68,-0.52471588,-0.22325731,-0.90836356,c5
69,-0.17717248,0.45116272,0.09338315,c0
70,-0.45150732,-0.74608103,-0.05664392,c0
71,-0.65481640,0.20814424,-0.23276719,c2
72,0.16090834,0.43066793,0.01421541,c4
73,0.26774875,0.96612248,-0.51208580,c6
74,0.85622083,-0.54887208,-0.83175282,c0
75,-0.68872431,-0.36019540,0.23060508,c4
76,-0.17380883,-0.67813599,0.16853199,c4
77,-0.48939596,0.66452769,-0.57382831,c6
78,0.64893290,-0.49047568,-0.55327046,c3
79,0.26544160,0.65641494,-0.45679999,c1
80,0.65219338,0.66349621,0.49760987,c5
81,-0.98385442,0.19753192,-0.70497303,c0
82,0.90163500,0.46356253,-0.10141536,c3
83,0.54450385,0.74604286,-0.52822825,c1
84,-0.18588359,0.59255793,-0.04576165,c0
85,-0.10048380,0.67136686,-0.60263301,c6
86,0.39597384,0.83402502,-0.03414040,c6
87,0.94817557,0.41433414,0.01159007,c5
88,-0.89369771,0.29487070,0.12597236,c5
89,0.55124934,0.77234232,-0.42290566,c1
90,0.34523680,-0.24697763,0.03786718,c1
91,0.36406052,0.30951265,0.01144038,c0
92,0.56723369,-0.86991581,-0.13986753,c1
93,0.26226907,-0.10815375,-0.15587276,c4
94,0.01935184,0.08899332,0.07618573,c1
95,-0.60734692,0.34738038,-0.20137630,c5
96,0.10453390,-0.24332382,-0.11119516,c1
97,0.84889009,-0.74865531,0.99939952,c3
98,0.36988757,-0.42829530,0.23965926,c1
99,-0.02766173,0.83631747,-0.19604331,c1
100,-0.88003317,-0.74304743,-0.54615871,c2
101,0.27781773,-0.97261814,-0.74013935,c3
102,-0.34494679,-0.08274851,-0.49060263,c3
103,-0.99560828,-0.39771784,-0.81322839,c1
104,0.13443703,0.26204741,0.93185926,c1
105,0.29114793,-0.52341995,0.88347572,c3
106,-0.93530137,-0.04694322,0.31377532,c1
107,-0.02202031,-0.88618916,0.45991637,c6
108,0.41298965,0.07692284,0.45924179,c3
109,0.03136726,0.06063972,0.79422543,c5
110,0.34531429,0.74287180,-0.84656602,c4
111,0.59515906,-0.39298200,0.11475449,c4
112,-0.41018949,-0.19463085,0.55713757,c3
113,-0.33364708,0.57133941,-0.79289388,c6
114,-0.57496869,0.71177588,-0.77372017,c3
115,0.39587735,0.21059628,-0.75383487,c1
116,-0.70677400,-0.52499525,0.75646090,c5
117,0.01437274,0.25553583,0.25312977,c1
118,0.03862141,0.77117651,-0.94751500,c3
119,0.38297268,0.07081642,0.17754305,c1
120,0.77070317,-0.83772382,0.22289172,c1
121,0.16908516,0.94016379,0.60432395,c6
122,-0.64750306,-0.55619073,-0.90051276,c5
123,0.64717382,-0.52347269,-0.91420133,c1
124,0.51384968,0.11745808,0.38187558,c3
125,-0.87546076,0.15723622,0.09873188,c4
126,-0.41028911,-0.01126211,0.40698990,c1
127,-0.00789984,0.98415593,0.62635799,c0
128,-0.11658616,-0.11034675,-0.45637633,c5
129,-0.59982530,0.26884420,0.36541240,c5
130,-0.34504315,-0.47364579,-0.78803801,c1
131,-0.44073831,0.54270743,0.55816269,c4
132,0.73428454,-0.54820741,-0.47188721,c4
133,0.66582185,-0.40784309,-0.55056004,c1
134,0.75956906,0.16337820,-0.42636188,c5
135,0.45305907,0.61876505,0.36867002,c6
136,-0.95950866,0.32563513,0.29008538,c6
137,-0.63329836,-0.47557834,0.43690467,c0
138,0.04652237,0.11785796,-0.00148145,c5
139,-0.63421646,-0.67850983,-0.10114710,c5
140,0.52020440,-0.29323196,0.54404948,c5
141,0.34842564,-0.33203610,0.07991222,c4
142,0.21543225,0.84416971,0.06536913,c0
143,0.20261700,-0.47237771,-0.03180016,c4
144,0.26073451,-0.41039341,0.38927879,c6
145,0.48199605,0.95518719,-0.57841604,c5
146,-0.85244518,0.15801780,-0.94977864,c4
147,-0.29336806,0.00647904,0.99971500,c0
148,0.34353309,-0.10760580,-0.06518740,c4
149,0.28880570,0.77357321,0.42105686,c3
150,-0.46921321,-0.63856531,0.55137236,c1
151,-0.91620848,0.54495617,-0.35508185,c3
152,-0.53080782,-0.41779760,-0.07554415,c1
153,-0.43436198,0.09068179,0.57848349,c5
154,0.48466553,0.36778098,-0.88561512,c3
155,-0.37205052,-0.92747244,-0.59115531,c2
156,0.58244444,-0.20006916,0.36177910,c6
157,-0.99033291,0.57915086,-0.43996793,c6
