id,cluster_id,x,y
0,A,-12,-12
1,B,12,-12
2,C,-12,12
3,D,12,12
4,A,-12,-12
5,B,12,-12
6,C,-12,12
7,D,12,12
8,A,-12,-12
9,B,12,-12
10,C,-12,12
11,D,12,12
12,A,-12,-12
13,B,12,-12
14,C,-12,12
15,D,12,12
16,A,-12,-12
17,B,12,-12
18,C,-12,12
19,D,12,12
20,A,-12,-12
21,B,12,-12
22,C,-12,12
23,D,12,12
24,A,-12,-12
25,B,12,-12
26,C,-12,12
27,D,12,12
28,A,-12,-12
29,B,12,-12
30,C,-12,12
31,D,12,12
32,A,-12,-12
33,B,12,-12
34,C,-12,12
35,D,12,12
36,A,-12,-12
37,B,12,-12
38,C,-12,12
39,D,12,12
40,A,-12,-12
41,B,12,-12
42,C,-12,12
43,D,12,12
44,A,-12,-12
45,B,12,-12
46,C,-12,12
47,D,12,12
48,A,-12,-12
49,B,12,-12
50,C,-12,12
51,D,12,12
52,A,-12,-12
53,B,12,-12
54,C,-12,12
55,D,12,12
56,A,-12,-12
57,B,12,-12
58,C,-12,12
59,D,12,12
60,A,-12,-12
61,B,12,-12
62,C,-12,12
63,D,12,12
64,A,-12,-12
65,B,12,-12
66,C,-12,12
67,D,12,12
68,A,-12,-12
69,B,12,-12
70,C,-12,12
71,D,12,12
72,A,-12,-12
73,B,12,-12
74,C,-12,12
75,D,12,12
76,A,-12,-12
77,B,12,-12
78,C,-12,12
79,D,12,12
80,A,-12,-12
81,B,12,-12
82,C,-12,12
83,D,12,12
84,A,-12,-12
85,B,12,-12
86,C,-12,12
87,D,12,12
88,A,-12,-12
89,B,12,-12
90,C,-12,12
91,D,12,12
92,A,-12,-12
93,B,12,-12
94,C,-12,12
95,D,12,12
96,A,-12,-12
97,B,12,-12
98,C,-12,12
99,D,12,12
100,A,-12,-12
101,B,12,-12
102,C,-12,12
103,D,12,12
104,A,-12,-12
105,B,12,-12
106,C,-12,12
107,D,12,12
108,A,-12,-12
109,B,12,-12
110,C,-12,12
111,D,12,12
112,A,-12,-12
113,B,12,-12
114,C,-12,12
115,D,12,12
116,A,-12,-12
117,B,12,-12
118,C,-12,12
119,D,12,12
120,A,-12,-12
121,B,12,-12
122,C,-12,12
123,D,12,12
124,A,-12,-12
125,B,12,-12
126,C,-12,12
127,D,12,12
128,A,-12,-12
129,B,12,-12
130,C,-12,12
131,D,12,12
132,A,-12,-12
133,B,12,-12
134,C,-12,12
135,D,12,12
136,A,-12,-12
137,B,12,-12
